entity_text,entity_label,normalized_entity,source_url,sentence
"""The All England Croquet and Lawn Tennis Club",ORG,"""The All England Croquet and Lawn Tennis Club",https://en.wikipedia.org/wiki/Wimbledon_Championships,"In spring 1877, the club was renamed ""The All England Croquet and Lawn Tennis Club"" and signalled its change of name by instituting the first Lawn Tennis Championship."
1 April 2016,DATE,1 April 2016,https://en.wikipedia.org/wiki/Australian_Open,Archived from the original (PDF) on 1 April 2016.
1 April 2019,DATE,1 April 2019,https://en.wikipedia.org/wiki/Novak_Djokovic,Retrieved 1 April 2019.
1 April 2020,DATE,1 April 2020,https://en.wikipedia.org/wiki/Wimbledon_Championships,"As a result of the COVID-19 global pandemic, the All England Club announced on 1 April 2020 that the entire grass-court season was to be cancelled as a public safety precaution until June 2021, marking the first time a Wimbledon tournament would not be played since World War II.[30]"
1 April 2020,DATE,1 April 2020,https://en.wikipedia.org/wiki/Wimbledon_Championships,Retrieved 1 April 2020.
1 April 2023,DATE,1 April 2023,https://en.wikipedia.org/wiki/Carlos_Alcaraz,1 April 2023.
1 April 2023,DATE,1 April 2023,https://en.wikipedia.org/wiki/Novak_Djokovic,1 April 2023.
1 April 2023,DATE,1 April 2023,https://en.wikipedia.org/wiki/Rafael_Nadal,Archived from the original on 1 April 2023.
1 April 2024,DATE,1 April 2024,https://en.wikipedia.org/wiki/Carlos_Alcaraz,Retrieved 1 April 2024.
1 August 2008,DATE,1 August 2008,https://en.wikipedia.org/wiki/Rafael_Nadal,1 August 2008.
1 August 2011,DATE,1 August 2011,https://en.wikipedia.org/wiki/Wimbledon_Championships,"On 1 August 2011, the All England Club transferred all of its assets relating to The Championships to a separate though wholly owned subsidiary, The All England Lawn Tennis Club (Championships) Limited, also known as AELTC."
1 August 2018,DATE,1 August 2018,https://en.wikipedia.org/wiki/Rafael_Nadal,Archived from the original on 1 August 2018.
1 August 2021,DATE,1 August 2021,https://en.wikipedia.org/wiki/Grand_Slam_(tennis),Retrieved 1 August 2021.
1 August 2022,DATE,1 August 2022,https://en.wikipedia.org/wiki/Novak_Djokovic,Retrieved 1 August 2022.
1 August 2022,DATE,1 August 2022,https://en.wikipedia.org/wiki/Rafael_Nadal,Retrieved 1 August 2022.
1 August 2023,DATE,1 August 2023,https://en.wikipedia.org/wiki/Carlos_Alcaraz,"- Richardson, James (1 August 2023)."
1 August 2025,DATE,1 August 2025,https://en.wikipedia.org/wiki/Novak_Djokovic,1 August 2025.
1 August.[101][102,DATE,1 August.[101][102,https://en.wikipedia.org/wiki/Carlos_Alcaraz,He became world No. 4 on 1 August.[101][102]
1 December 2010,DATE,1 December 2010,https://en.wikipedia.org/wiki/Novak_Djokovic,"- Clarey, Cristopher (1 December 2010)."
1 December 2018,DATE,1 December 2018,https://en.wikipedia.org/wiki/Wimbledon_Championships,Archived from the original on 1 December 2018.
1 December 2021,DATE,1 December 2021,https://en.wikipedia.org/wiki/Grand_Slam_(tennis),Archived from the original on 1 December 2021.
1 February 2004,DATE,1 February 2004,https://en.wikipedia.org/wiki/Grand_Slam_(tennis),1 February 2004.
1 February 2008,DATE,1 February 2008,https://en.wikipedia.org/wiki/Australian_Open,Archived from the original on 1 February 2008.
1 February 2008,DATE,1 February 2008,https://en.wikipedia.org/wiki/Australian_Open,Retrieved 1 February 2008.
1 February 2008,DATE,1 February 2008,https://en.wikipedia.org/wiki/Grand_Slam_(tennis),Archived from the original on 1 February 2008.
1 February 2012,DATE,1 February 2012,https://en.wikipedia.org/wiki/Australian_Open,Archived from the original on 1 February 2012.
1 February 2013,DATE,1 February 2013,https://en.wikipedia.org/wiki/Novak_Djokovic,1 February 2013.
1 February 2013,DATE,1 February 2013,https://en.wikipedia.org/wiki/Rafael_Nadal,Retrieved 1 February 2013.
1 February 2015,DATE,1 February 2015,https://en.wikipedia.org/wiki/Australian_Open,Retrieved 1 February 2015.
1 February 2015,DATE,1 February 2015,https://en.wikipedia.org/wiki/Novak_Djokovic,"- Briggs, Simon (1 February 2015)."
1 February 2016,DATE,1 February 2016,https://en.wikipedia.org/wiki/Australian_Open,1 February 2016.
1 February 2016,DATE,1 February 2016,https://en.wikipedia.org/wiki/Novak_Djokovic,1 February 2016.
1 February 202,DATE,1 February 202,https://en.wikipedia.org/wiki/Carlos_Alcaraz,Retrieved 1 February 202
1 February 2022,DATE,1 February 2022,https://en.wikipedia.org/wiki/French_Open,Archived from the original on 1 February 2022.
1 February 2022,DATE,1 February 2022,https://en.wikipedia.org/wiki/Grand_Slam_(tennis),Archived from the original on 1 February 2022.
1 February 2022,DATE,1 February 2022,https://en.wikipedia.org/wiki/Novak_Djokovic,Archived from the original on 1 February 2022.
1 February 2024,DATE,1 February 2024,https://en.wikipedia.org/wiki/Rafael_Nadal,Archived from the original on 1 February 2024.
1 February 2024,DATE,1 February 2024,https://en.wikipedia.org/wiki/Rafael_Nadal,Retrieved 1 February 2024.
1 February 2025,DATE,1 February 2025,https://en.wikipedia.org/wiki/Wimbledon_Championships,Retrieved 1 February 2025.
1 February 2026,DATE,1 February 2026,https://en.wikipedia.org/wiki/Carlos_Alcaraz,KhelWire. 1 February 2026.
1 February 2026,DATE,1 February 2026,https://en.wikipedia.org/wiki/Carlos_Alcaraz,Retrieved 1 February 2026.
1 February 2026,DATE,1 February 2026,https://en.wikipedia.org/wiki/Carlos_Alcaraz,ATPTour. 1 February 2026.
1 February 2026,DATE,1 February 2026,https://en.wikipedia.org/wiki/Novak_Djokovic,Retrieved 1 February 2026.
1 February 2026,DATE,1 February 2026,https://en.wikipedia.org/wiki/Novak_Djokovic,KhelWire. 1 February 2026.
1 January 2011,DATE,1 January 2011,https://en.wikipedia.org/wiki/Rafael_Nadal,1 January 2011.
1 July 1967,DATE,1 July 1967,https://en.wikipedia.org/wiki/Wimbledon_Championships,"Wimbledon was also involved in a piece of television history, when on 1 July 1967 the first official colour television broadcast took place in the UK."
1 July 2009,DATE,1 July 2009,https://en.wikipedia.org/wiki/Grand_Slam_(tennis),Retrieved 1 July 2009.
1 July 2009,DATE,1 July 2009,https://en.wikipedia.org/wiki/Novak_Djokovic,"- Westbrook, Ian (1 July 2009)."
1 July 2009,DATE,1 July 2009,https://en.wikipedia.org/wiki/Novak_Djokovic,"Retrieved 1 July 2009. - ""2009: An exceptional year at the NBO in Montreal"". National Bank Open."
1 July 2014,DATE,1 July 2014,https://en.wikipedia.org/wiki/Rafael_Nadal,"(1 July 2014). ""Rafael Nadal beaten by Nick Kyrgios at Wimbledon""."
1 July 2014,DATE,1 July 2014,https://en.wikipedia.org/wiki/Rafael_Nadal,Archived from the original on 1 July 2014.
1 July 2014,DATE,1 July 2014,https://en.wikipedia.org/wiki/Rafael_Nadal,Retrieved 1 July 2014.
1 July 2016,DATE,1 July 2016,https://en.wikipedia.org/wiki/Novak_Djokovic,BBC Sport. 1 July 2016.
1 July 2017,DATE,1 July 2017,https://en.wikipedia.org/wiki/Wimbledon_Championships,Retrieved 1 July 2017.
1 July 2019,DATE,1 July 2019,https://en.wikipedia.org/wiki/Rafael_Nadal,Retrieved 1 July 2019.
1 July 2019,DATE,1 July 2019,https://en.wikipedia.org/wiki/Wimbledon_Championships,- Ben Rothenberg (1 July 2019).
1 July 2019,DATE,1 July 2019,https://en.wikipedia.org/wiki/Wimbledon_Championships,Archived from the original on 1 July 2019.
1 July 2019,DATE,1 July 2019,https://en.wikipedia.org/wiki/Wimbledon_Championships,Retrieved 1 July 2019.
1 July 2020,DATE,1 July 2020,https://en.wikipedia.org/wiki/Novak_Djokovic,Archived from the original on 1 July 2020.
1 July 2020,DATE,1 July 2020,https://en.wikipedia.org/wiki/Wimbledon_Championships,"- Bauckham, Jon (1 July 2020)."
1 July 2021,DATE,1 July 2021,https://en.wikipedia.org/wiki/Carlos_Alcaraz,"- Ramsay, Alix (1 July 2021)."
1 July 2023,DATE,1 July 2023,https://en.wikipedia.org/wiki/Carlos_Alcaraz,"- Lewis, Tim (1 July 2023). ""."
1 July 2023,DATE,1 July 2023,https://en.wikipedia.org/wiki/Novak_Djokovic,"- Tignor, Steve (1 July 2023)."
1 June 2008,DATE,1 June 2008,https://en.wikipedia.org/wiki/Rafael_Nadal,"- Rajaraman, Aarthi (1 June 2008)."
1 June 2012,DATE,1 June 2012,https://en.wikipedia.org/wiki/Wimbledon_Championships,"- [1] Archived 1 June 2012 at the Wayback Machine - New Court No. 2 Archived 20 June 2009 at the Wayback Machine - ""The New Court 3""."
1 June 2013,DATE,1 June 2013,https://en.wikipedia.org/wiki/Novak_Djokovic,1 June 2013.
1 June 2013,DATE,1 June 2013,https://en.wikipedia.org/wiki/Wimbledon_Championships,Retrieved 1 June 2013.
1 June 2014,DATE,1 June 2014,https://en.wikipedia.org/wiki/Novak_Djokovic,SI. 1 June 2014.
1 June 2016,DATE,1 June 2016,https://en.wikipedia.org/wiki/French_Open,1 June 2016.
1 June 2016,DATE,1 June 2016,https://en.wikipedia.org/wiki/Novak_Djokovic,"- ""Djokovic Passes $100 Million Prize Money Milestone"", ATP, 1 June 2016."
1 June 2017,DATE,1 June 2017,https://en.wikipedia.org/wiki/Rafael_Nadal,Archived from the original on 1 June 2017.
1 June 2019,DATE,1 June 2019,https://en.wikipedia.org/wiki/Rafael_Nadal,1 June 2019.
1 June 2021,DATE,1 June 2021,https://en.wikipedia.org/wiki/Carlos_Alcaraz,Archived from the original on 1 June 2021.
1 June 2021,DATE,1 June 2021,https://en.wikipedia.org/wiki/Wimbledon_Championships,Retrieved 1 June 2021.
1 June 2022,DATE,1 June 2022,https://en.wikipedia.org/wiki/2022_French_Open_%E2%80%93_Men%27s_singles,Archived from the original on 1 June 2022.
