private_entity,entity_role,external_uri,candidate_label,candidate_description,confidence,decision
New Zealand,Country,http://www.wikidata.org/entity/Q664,New Zealand,island country in the southwest Pacific Ocean,1.0,accept_alignment
Jamaica,Country,http://www.wikidata.org/entity/Q766,Jamaica,island state in the Caribbean Sea,1.0,accept_alignment
Spain,Country,http://www.wikidata.org/entity/Q29,Spain,manual high-confidence seed,0.99,accept_alignment
Australia,Country,http://www.wikidata.org/entity/Q408,Australia,manual high-confidence seed,0.99,accept_alignment
David Ferrer,Player,http://www.wikidata.org/entity/Q191476,David Ferrer,Spanish tennis player (born 1982),1.0,accept_alignment
Dominic Thiem,Player,http://www.wikidata.org/entity/Q88762,Dominic Thiem,Austrian male tennis player,1.0,accept_alignment
Gaël Monfils,Player,http://www.wikidata.org/entity/Q186429,Gaël Monfils,French tennis player,1.0,accept_alignment
Kei Nishikori,Player,http://www.wikidata.org/entity/Q311222,Kei Nishikori,Japanese tennis player,1.0,accept_alignment
John Isner,Player,http://www.wikidata.org/entity/Q53566,John Isner,American tennis player,1.0,accept_alignment
Casper Ruud,Player,http://www.wikidata.org/entity/Q18810082,Casper Ruud,Norwegian tennis player,1.0,accept_alignment
Juan Martín del Potro,Player,http://www.wikidata.org/entity/Q180535,Juan Martín del Potro,Argentine tennis player,1.0,accept_alignment
Nick Kyrgios,Player,http://www.wikidata.org/entity/Q3720084,Nick Kyrgios,Australian tennis player (born 1995),1.0,accept_alignment
Botic van de Zandschulp,Player,http://www.wikidata.org/entity/Q28038578,Botic van de Zandschulp,Dutch tennis player,1.0,accept_alignment
Cameron Norrie,Player,http://www.wikidata.org/entity/Q23668736,Cameron Norrie,British tennis player,1.0,accept_alignment
Jo-Wilfried Tsonga,Player,http://www.wikidata.org/entity/Q192661,Jo-Wilfried Tsonga,French tennis player,1.0,accept_alignment
Milos Raonic,Player,http://www.wikidata.org/entity/Q312343,Milos Raonic,Canadian tennis player (born 1990),1.0,accept_alignment
